                FN11         H      0.024184000000
                FN11         C      0.046302000000
              XFAC_C         H      0.216506000000
                 HSP         C      0.717322000000
              XFAC_C         C      0.813510000000
              ALPB_C         H      1.027806000000
                 GPP         C     10.778326000000
                 USS         H    -11.246958000000
                 GSP         C     11.528134000000
                  ZS         H      1.268641000000
                 GSS         C     13.335519000000
                FN31         C      1.333959000000
                 GSS         H     14.448686000000
               BETAS         C    -15.385236000000
                  ZP         C      1.702841000000
                FN31         H      1.786011000000
                  ZS         C      2.047558000000
                FN21         C      2.100206000000
              XFAC_H         H      2.243587000000
              ALPB_C         C      2.613713000000
                FN21         H      3.055953000000
              ALPB_H         H      3.540942000000
                 UPP         C    -39.937920000000
                 USS         C    -51.089653000000
               BETAP         C     -7.471929000000
               BETAS         H     -8.352984000000
                 GP2         C      9.486212000000

